ticker,date,open,high,low,close,volume,volume_pln
KGH.WA,2024-12-13,127.2,128.7,126.1,127,576182,73175114
KGH.WA,2024-12-16,127,127.3,123.9,124.75,495650,61832337.5
KGH.WA,2024-12-17,124,124.35,121.1,121.85,606771,73935046.35
KGH.WA,2024-12-18,121.75,122.6,120.5,121.05,659175,79793133.75
KGH.WA,2024-12-19,117.55,119.15,115.5,117.4,734568,86238283.2
KGH.WA,2024-12-20,117.1,117.2,114.7,116.45,1165722,135748326.9
KGH.WA,2024-12-23,117,118.9,116.5,117.3,662915,77759929.5
KGH.WA,2024-12-27,117.3,117.8,116.3,117.35,326364,38298815.4
KGH.WA,2024-12-30,117.4,117.4,115,115,401169,46134435
KGH.WA,2025-01-02,116.15,117.7,116,117.55,385725,45341973.75
KGH.WA,2025-01-03,117.95,117.95,115.6,116.95,420144,49135840.8
KGH.WA,2025-01-07,119.95,121,118.15,119.3,597660,71300838
KGH.WA,2025-01-08,119.5,119.65,117.4,119.65,572464,68495317.6
KGH.WA,2025-01-09,120,123.45,119.5,122.3,630904,77159559.2
KGH.WA,2025-01-10,123.05,124,120.9,121.6,505110,61421376
KGH.WA,2025-01-13,121.3,122.85,120.1,121.15,269569,32658284.35
KGH.WA,2025-01-14,122.3,123.6,120.25,120.9,385905,46655914.5
KGH.WA,2025-01-15,121,123.75,120.05,123.6,309296,38228985.6
KGH.WA,2025-01-16,124.85,125.6,123.35,124.25,377240,46872070
KGH.WA,2025-01-17,125.05,126.7,124.15,126.4,435226,55012566.4
KGH.WA,2025-01-20,126.4,127.8,125.05,126.8,274278,34778450.4
KGH.WA,2025-01-21,126.5,126.55,124,125,266524,33315500
KGH.WA,2025-01-22,124.2,125,123.1,123.5,458656,56644016
KGH.WA,2025-01-23,123,123.3,121.4,123.2,328553,40477729.6
KGH.WA,2025-01-24,124.65,128.35,124.45,127.35,581630,74070580.5
KGH.WA,2025-01-27,124.6,124.8,122.75,123.3,484805,59776456.5
KGH.WA,2025-01-28,123.35,123.8,121.4,121.4,422193,51254230.2
KGH.WA,2025-01-29,121.4,124.7,120.3,124.35,328299,40823980.65
KGH.WA,2025-01-30,124.35,127.8,124.1,127.8,460093,58799885.4
KGH.WA,2025-01-31,127.5,127.65,125.15,125.75,343161,43152495.75
KGH.WA,2025-02-03,122,123.75,121,122.95,565600,69540520
KGH.WA,2025-02-04,123.5,124.75,122.7,124.45,610022,75917237.9
KGH.WA,2025-02-05,124.5,126.05,122.65,123,596807,73407261
KGH.WA,2025-02-06,128,129.35,127,128.85,1402658,180732483.3
KGH.WA,2025-02-07,129.5,132.9,128.05,132.3,739991,97900809.3
KGH.WA,2025-02-10,132.5,144.45,131,140,1865219,261130660
KGH.WA,2025-02-11,139.5,139.8,135.3,136,929870,126462320
KGH.WA,2025-02-12,137.5,138.05,131.8,134.8,847871,114293010.8
KGH.WA,2025-02-13,137.35,138.4,134.7,136.35,602779,82188916.65
KGH.WA,2025-02-14,138,141.35,136.3,136.8,978396,133844572.8
KGH.WA,2025-02-17,136.8,139.3,135.9,138.9,392775,54556447.5
KGH.WA,2025-02-18,139.55,140.9,139,139.3,474682,66123202.6
KGH.WA,2025-02-19,140,140.65,135.6,137.2,782214,107319760.8
KGH.WA,2025-02-20,137,140.6,136.6,139.05,821315,114203850.75
KGH.WA,2025-02-21,138.4,140.2,137.75,137.75,1370709,188815164.75
KGH.WA,2025-02-24,137.6,138.05,133.65,134.25,462975,62154393.75
KGH.WA,2025-02-25,133,136.05,132.15,133,580090,77151970
KGH.WA,2025-02-26,137.5,138.3,135.5,136.2,741446,100984945.2
KGH.WA,2025-02-27,135.75,136,131.95,132.15,628608,83070547.2
KGH.WA,2025-02-28,130.2,130.65,128.25,129.45,1096607,141955776.15
KGH.WA,2025-03-03,129.45,133.75,129.2,131.7,641821,84527825.7
KGH.WA,2025-03-04,130.2,130.7,127.35,127.35,719226,91593431.1
KGH.WA,2025-03-05,132.3,133.3,131.15,132.75,1332455,176883401.25
KGH.WA,2025-03-06,133.5,134,131.4,133.1,1410338,187715987.8
KGH.WA,2025-03-07,132.25,133.5,129.5,131.65,527922,69500931.3
KGH.WA,2025-03-10,131.3,131.6,127.5,128,763016,97666048
KGH.WA,2025-03-11,128.1,129.75,127.5,128.25,740526,94972459.5
KGH.WA,2025-03-12,130.45,131,128.4,129.15,1628083,210266919.45
KGH.WA,2025-03-13,129.05,133.4,128,132.6,1197127,158739040.2
KGH.WA,2025-03-14,134.1,137.9,133.55,137.15,1289245,176819951.75
KGH.WA,2025-03-17,138,138.8,136.1,138.8,875851,121568118.8
KGH.WA,2025-03-18,139,141.8,137.8,139,1084748,150779972
KGH.WA,2025-03-19,138.5,139.5,136.6,138.9,747451,103820943.9
KGH.WA,2025-03-20,140,141,134.7,138.2,838725,115911795.0
KGH.WA,2025-03-21,137,138,134.7,135.2,1049982,141957566.4
KGH.WA,2025-03-24,138.8,140.1,137.4,139.65,940448,131333563.2
KGH.WA,2025-03-25,139.8,142,138.05,140.75,810304,114050288
KGH.WA,2025-03-26,140.75,141.95,135.4,136.3,986186,134417151.8
